Kota/Kabupaten,Latitude,Longitude
Kabupaten Banjarnegara,-7.379989,109.695761
Kabupaten Banyumas,-7.514104,109.243512
Kabupaten Batang,-6.869213,109.744137
Kabupaten Blora,-6.969543,111.418846
Kabupaten Boyolali,-7.529611,110.596325
Kabupaten Brebes,-6.870610,108.902736
Kabupaten Cilacap,-7.717145,109.006609
Kabupaten Demak,-6.890093,110.676120
Kabupaten Grobogan,-7.134187,110.920964
Kabupaten Jepara,-6.585169,110.670524
Kabupaten Karanganyar,-7.638717,110.950413
Kabupaten Kebumen,-7.661791,109.658559
Kabupaten Kendal,-6.924954,110.204896
Kabupaten Klaten,-7.711563,110.605060
Kabupaten Kudus,-6.804520,110.840013
Kabupaten Magelang,-7.472646,110.217686
Kabupaten Pati,-6.754751,111.039531
Kabupaten Pekalongan,-7.003552,109.625132
Kabupaten Pemalang,-6.888853,109.377255
Kabupaten Purbalingga,-7.389697,109.363537
Kabupaten Purworejo,-7.713827,110.003362
Kabupaten Rembang,-6.709740,111.420685
Kabupaten Semarang,-7.252073,110.400720
Kabupaten Sragen,-7.426474,111.022804
Kabupaten Sukoharjo,-7.678710,110.827678
Kabupaten Tegal,-6.980972,109.125046
Kabupaten Temanggung,-7.310110,110.083961
Kabupaten Wonogiri,-7.946529,111.053294
Kabupaten Wonosobo,-7.363900,109.901500

Kota Magelang,-7.470474,110.217700
Kota Pekalongan,-6.889836,109.674591
Kota Salatiga,-7.330536,110.508407
Kota Semarang,-7.005145,110.438125
Kota Surakarta,-7.575488,110.824327
Kota Tegal,-6.867618,109.123166
