Kota/Kabupaten,Latitude,Longitude
Kabupaten Bangkalan,-7.041974,112.913669
Kabupaten Banyuwangi,-8.219020,114.369141
Kabupaten Blitar,-8.095320,112.161850
Kabupaten Bojonegoro,-7.150975,111.881879
Kabupaten Bondowoso,-7.967140,113.828823
Kabupaten Gresik,-7.156576,112.655472
Kabupaten Jember,-8.184485,113.668076
Kabupaten Jombang,-7.545026,112.233512
Kabupaten Kediri,-7.848060,112.016670
Kabupaten Lamongan,-7.126999,112.419800
Kabupaten Lumajang,-8.129269,113.224508
Kabupaten Madiun,-7.629987,111.523499
Kabupaten Magetan,-7.654360,111.342416
Kabupaten Malang,-8.145453,112.616522
Kabupaten Mojokerto,-7.472809,112.440306
Kabupaten Nganjuk,-7.594768,111.904856
Kabupaten Ngawi,-7.405441,111.449956
Kabupaten Pacitan,-8.194557,111.149644
Kabupaten Pamekasan,-7.115551,113.472308
Kabupaten Pasuruan,-7.645598,112.907581
Kabupaten Ponorogo,-7.865663,111.469095
Kabupaten Probolinggo,-7.750747,113.215407
Kabupaten Sampang,-7.047690,113.243170
Kabupaten Sidoarjo,-7.446994,112.717116
Kabupaten Situbondo,-7.705803,114.009760
Kabupaten Sumenep,-7.004114,113.849291
Kabupaten Trenggalek,-8.058035,111.717274
Kabupaten Tuban,-6.897398,112.064950
Kabupaten Tulungagung,-8.065342,111.902294

Kota Batu,-7.871570,112.524842
Kota Blitar,-8.100103,112.156586
Kota Kediri,-7.848200,112.015305
Kota Madiun,-7.629819,111.523069
Kota Malang,-7.966620,112.632632
Kota Mojokerto,-7.472737,112.437843
Kota Pasuruan,-7.645474,112.907684
Kota Probolinggo,-7.756928,113.211502
Kota Surabaya,-7.257472,112.752090
