Kota/Kabupaten,Latitude,Longitude
Kabupaten Bandung,-7.000000,107.620000
Kabupaten Bandung Barat,-6.837806,107.472554
Kabupaten Bekasi,-6.236334,107.005290
Kabupaten Bogor,-6.597147,106.806039
Kabupaten Ciamis,-7.332487,108.353756
Kabupaten Cianjur,-6.816474,107.142600
Kabupaten Cirebon,-6.840980,108.404610
Kabupaten Garut,-7.211197,107.898048
Kabupaten Indramayu,-6.326488,108.324876
Kabupaten Karawang,-6.322725,107.337580
Kabupaten Kuningan,-6.977478,108.483900
Kabupaten Majalengka,-6.838015,108.227028
Kabupaten Pangandaran,-7.620079,108.498300
Kabupaten Purwakarta,-6.556757,107.443214
Kabupaten Subang,-6.575920,107.761040
Kabupaten Sukabumi,-6.918970,106.927009
Kabupaten Sumedang,-6.836191,107.921785
Kabupaten Tasikmalaya,-7.350000,108.217827

Kota Bandung,-6.914744,107.609810
Kota Banjar,-7.373700,108.534200
Kota Bekasi,-6.238270,106.975570
Kota Bogor,-6.595038,106.816635
Kota Cimahi,-6.872980,107.542540
Kota Cirebon,-6.706290,108.557014
Kota Depok,-6.402484,106.794241
Kota Sukabumi,-6.927367,106.925750
Kota Tasikmalaya,-7.327383,108.220484
