WKT,Kota/Kabupaten,Latitude,Longitude
"POINT (109.695761 -7.379989)",Kabupaten Banjarnegara,-7.379989,109.695761
"POINT (109.243512 -7.514104)",Kabupaten Banyumas,-7.514104,109.243512
"POINT (109.744137 -6.869213)",Kabupaten Batang,-6.869213,109.744137
"POINT (111.418846 -6.969543)",Kabupaten Blora,-6.969543,111.418846
"POINT (110.596325 -7.529611)",Kabupaten Boyolali,-7.529611,110.596325
"POINT (108.902736 -6.87061)",Kabupaten Brebes,-6.870610,108.902736
"POINT (109.006609 -7.717145)",Kabupaten Cilacap,-7.717145,109.006609
"POINT (110.67612 -6.890093)",Kabupaten Demak,-6.890093,110.676120
"POINT (110.920964 -7.134187)",Kabupaten Grobogan,-7.134187,110.920964
"POINT (110.670524 -6.585169)",Kabupaten Jepara,-6.585169,110.670524
"POINT (110.950413 -7.638717)",Kabupaten Karanganyar,-7.638717,110.950413
"POINT (109.658559 -7.661791)",Kabupaten Kebumen,-7.661791,109.658559
"POINT (110.204896 -6.924954)",Kabupaten Kendal,-6.924954,110.204896
"POINT (110.60506 -7.711563)",Kabupaten Klaten,-7.711563,110.605060
"POINT (110.840013 -6.80452)",Kabupaten Kudus,-6.804520,110.840013
"POINT (110.217686 -7.472646)",Kabupaten Magelang,-7.472646,110.217686
"POINT (111.039531 -6.754751)",Kabupaten Pati,-6.754751,111.039531
"POINT (109.625132 -7.003552)",Kabupaten Pekalongan,-7.003552,109.625132
"POINT (109.377255 -6.888853)",Kabupaten Pemalang,-6.888853,109.377255
"POINT (109.363537 -7.389697)",Kabupaten Purbalingga,-7.389697,109.363537
"POINT (110.003362 -7.713827)",Kabupaten Purworejo,-7.713827,110.003362
"POINT (111.420685 -6.70974)",Kabupaten Rembang,-6.709740,111.420685
"POINT (110.40072 -7.252073)",Kabupaten Semarang,-7.252073,110.400720
"POINT (111.022804 -7.426474)",Kabupaten Sragen,-7.426474,111.022804
"POINT (110.827678 -7.67871)",Kabupaten Sukoharjo,-7.678710,110.827678
"POINT (109.125046 -6.980972)",Kabupaten Tegal,-6.980972,109.125046
"POINT (110.083961 -7.31011)",Kabupaten Temanggung,-7.310110,110.083961
"POINT (111.053294 -7.946529)",Kabupaten Wonogiri,-7.946529,111.053294
"POINT (109.9015 -7.3639)",Kabupaten Wonosobo,-7.363900,109.901500
"POINT (110.2177 -7.470474)",Kota Magelang,-7.470474,110.217700
"POINT (109.674591 -6.889836)",Kota Pekalongan,-6.889836,109.674591
"POINT (110.508407 -7.330536)",Kota Salatiga,-7.330536,110.508407
"POINT (110.438125 -7.005145)",Kota Semarang,-7.005145,110.438125
"POINT (110.824327 -7.575488)",Kota Surakarta,-7.575488,110.824327
"POINT (109.123166 -6.867618)",Kota Tegal,-6.867618,109.123166
