WKT,Kota/Kabupaten,Latitude,Longitude
"POINT (112.913669 -7.041974)",Kabupaten Bangkalan,-7.041974,112.913669
"POINT (114.369141 -8.21902)",Kabupaten Banyuwangi,-8.219020,114.369141
"POINT (112.16185 -8.09532)",Kabupaten Blitar,-8.095320,112.161850
"POINT (111.881879 -7.150975)",Kabupaten Bojonegoro,-7.150975,111.881879
"POINT (113.828823 -7.96714)",Kabupaten Bondowoso,-7.967140,113.828823
"POINT (112.655472 -7.156576)",Kabupaten Gresik,-7.156576,112.655472
"POINT (113.668076 -8.184485)",Kabupaten Jember,-8.184485,113.668076
"POINT (112.233512 -7.545026)",Kabupaten Jombang,-7.545026,112.233512
"POINT (112.01667 -7.84806)",Kabupaten Kediri,-7.848060,112.016670
"POINT (112.4198 -7.126999)",Kabupaten Lamongan,-7.126999,112.419800
"POINT (113.224508 -8.129269)",Kabupaten Lumajang,-8.129269,113.224508
"POINT (111.523499 -7.629987)",Kabupaten Madiun,-7.629987,111.523499
"POINT (111.342416 -7.65436)",Kabupaten Magetan,-7.654360,111.342416
"POINT (112.616522 -8.145453)",Kabupaten Malang,-8.145453,112.616522
"POINT (112.440306 -7.472809)",Kabupaten Mojokerto,-7.472809,112.440306
"POINT (111.904856 -7.594768)",Kabupaten Nganjuk,-7.594768,111.904856
"POINT (111.449956 -7.405441)",Kabupaten Ngawi,-7.405441,111.449956
"POINT (111.149644 -8.194557)",Kabupaten Pacitan,-8.194557,111.149644
"POINT (113.472308 -7.115551)",Kabupaten Pamekasan,-7.115551,113.472308
"POINT (112.907581 -7.645598)",Kabupaten Pasuruan,-7.645598,112.907581
"POINT (111.469095 -7.865663)",Kabupaten Ponorogo,-7.865663,111.469095
"POINT (113.215407 -7.750747)",Kabupaten Probolinggo,-7.750747,113.215407
"POINT (113.24317 -7.04769)",Kabupaten Sampang,-7.047690,113.243170
"POINT (112.717116 -7.446994)",Kabupaten Sidoarjo,-7.446994,112.717116
"POINT (114.00976 -7.705803)",Kabupaten Situbondo,-7.705803,114.009760
"POINT (113.849291 -7.004114)",Kabupaten Sumenep,-7.004114,113.849291
"POINT (111.717274 -8.058035)",Kabupaten Trenggalek,-8.058035,111.717274
"POINT (112.06495 -6.897398)",Kabupaten Tuban,-6.897398,112.064950
"POINT (111.902294 -8.065342)",Kabupaten Tulungagung,-8.065342,111.902294
"POINT (112.524842 -7.87157)",Kota Batu,-7.871570,112.524842
"POINT (112.156586 -8.100103)",Kota Blitar,-8.100103,112.156586
"POINT (112.015305 -7.8482)",Kota Kediri,-7.848200,112.015305
"POINT (111.523069 -7.629819)",Kota Madiun,-7.629819,111.523069
"POINT (112.632632 -7.96662)",Kota Malang,-7.966620,112.632632
"POINT (112.437843 -7.472737)",Kota Mojokerto,-7.472737,112.437843
"POINT (112.907684 -7.645474)",Kota Pasuruan,-7.645474,112.907684
"POINT (113.211502 -7.756928)",Kota Probolinggo,-7.756928,113.211502
"POINT (112.75209 -7.257472)",Kota Surabaya,-7.257472,112.752090
